scope,left_metric,left_label,right_metric,right_label,paired_observations,shared_country_years,spearman_rho,kendall_tau_b,left_price_basis,right_price_basis,comparability_tier,interpretation_limit
country_common_year_total,codf,CODF loan commitments,china_eu_finance,China development finance,35,178,0.87591,0.694118,nominal_usd,constant_2017_usd,different_basis_rank_only,Association on pairwise observed ranks; not an agreement of monetary levels and not causal.
country_year_overlap,cla,CLA loan commitments,cgef,CGEF loan commitments,91,91,0.696771,0.556492,nominal_usd,nominal_usd,same_basis_rank_comparison,Association on pairwise observed ranks; not an agreement of monetary levels and not causal.
country_common_year_total,cla,CLA loan commitments,cgef,CGEF loan commitments,17,76,0.887255,0.720588,nominal_usd,nominal_usd,same_basis_rank_comparison,Association on pairwise observed ranks; not an agreement of monetary levels and not causal.
country_year_overlap,cla,CLA loan commitments,chapo,CHAPO commitments,161,161,0.06832,0.045818,nominal_usd,constant_2021_usd,different_basis_rank_only,Association on pairwise observed ranks; not an agreement of monetary levels and not causal.
country_common_year_total,cla,CLA loan commitments,chapo,CHAPO commitments,33,151,0.611297,0.450758,nominal_usd,constant_2021_usd,different_basis_rank_only,Association on pairwise observed ranks; not an agreement of monetary levels and not causal.
country_year_overlap,cla,CLA loan commitments,china_eu_finance,China development finance,346,346,0.747458,0.574364,nominal_usd,constant_2017_usd,different_basis_rank_only,Association on pairwise observed ranks; not an agreement of monetary levels and not causal.
country_common_year_total,cla,CLA loan commitments,china_eu_finance,China development finance,43,343,0.915886,0.758583,nominal_usd,constant_2017_usd,different_basis_rank_only,Association on pairwise observed ranks; not an agreement of monetary levels and not causal.
country_year_overlap,cgef,CGEF loan commitments,chapo,CHAPO commitments,45,45,-0.022662,-0.015159,nominal_usd,constant_2021_usd,different_basis_rank_only,Association on pairwise observed ranks; not an agreement of monetary levels and not causal.
country_common_year_total,cgef,CGEF loan commitments,chapo,CHAPO commitments,10,32,0.175758,0.2,nominal_usd,constant_2021_usd,different_basis_rank_only,Association on pairwise observed ranks; not an agreement of monetary levels and not causal.
country_year_overlap,cgef,CGEF loan commitments,china_eu_finance,China development finance,80,80,0.311058,0.214975,nominal_usd,constant_2017_usd,different_basis_rank_only,Association on pairwise observed ranks; not an agreement of monetary levels and not causal.
country_common_year_total,cgef,CGEF loan commitments,china_eu_finance,China development finance,17,68,0.730392,0.558824,nominal_usd,constant_2017_usd,different_basis_rank_only,Association on pairwise observed ranks; not an agreement of monetary levels and not causal.
country_year_overlap,chapo,CHAPO commitments,china_eu_finance,China development finance,247,247,0.151286,0.107192,constant_2021_usd,constant_2017_usd,different_basis_rank_only,Association on pairwise observed ranks; not an agreement of monetary levels and not causal.
country_common_year_total,chapo,CHAPO commitments,china_eu_finance,China development finance,45,246,0.569302,0.389899,constant_2021_usd,constant_2017_usd,different_basis_rank_only,Association on pairwise observed ranks; not an agreement of monetary levels and not causal.
